tx_id,fee,weight,parents 
2e3da8fbc1eaca8ed9b7c2db9e6545d8ccac3c67deadee95db050e41c1eedfc0,452,1620,
79c51c9d4124c5cbb37a85263748dcf44e182dff83561fa3087f0e9e43f41c33,682,1136,6eb38fad135e38a93cb47a15a5f953cbc0563fd84bf1abdec578c2af302e10bf
b0ef627c8dc2a706475d33d7712209ec779f7a8302aaeab86c64cf00316a3df8,226,900,
8c25f9be93990b96e8bc363778d6debee6867c7d73cefab69405d41e677b536c,258,1032,
edc82751537be6afcb21c0229d8d20916d8e742a363ab235b5556c5fa698cf4f,452,1616,
384718a612cc6b220a8eeaf36f9d179e70fe233e2e906878a9c9d855292bd534,452,1616,edc82751537be6afcb21c0229d8d20916d8e742a363ab235b5556c5fa698cf4f
d506243d15088e94cf5300c55c67889d61f798750f6c59b9ec6237fa1cfb9bf9,285,1132,
857909bcca1f5e76d2eb78d60ecf14d6d6dcfd3691c95094f4ae6322f27d0faa,285,1132,
e50935ba818134e052de9e65398faa5a28fde36a88536705f2540d86eef5f49e,285,1136,
8ce84562ac4aab9c1ec15ac0c76cf0ef5ae5f9a945d717eb6c35e03e59be4657,285,1136,
c1ae3a82e52066b670e43116e7bfbcb6fa0abe16088f920060fa41e09715db7d,441,1760,
288ea91bb52d8cb28289f4db0d857356622e39e78f33f26bf6df2bbdd3810fad,259,1036,
9f292a9f4b059396dd6240925a7d999478efc9c578e53e2dc14397f40a70d5a2,299,1132,
a8f09e869e63571d0c989fbab86a13e1b5abbb359c05d88a68414e7b7614b6f2,285,1136,
4df49933980376afe56bcfdfc2ad9b045ed26825a9e6b26a8b9a92f222bf8e12,299,1132,
4d841d03ba8dec890356bb3d5fd9f8ad4f30ef0e589396e7f92baa2e6ccc4ad4,238,892,
a14376aaed155e41b4eb3a46ef1d6fda222f7b3ebb6e69d27afb2601dc880a6c,299,1136,
43d0ee1893b75b8ab9ae6d38e320656b046d577577aff13d7e210ff8e2a6bbb8,452,1616,
969ff1710715bd36fb4ab9117c46bb05f24e96ae03f39685f2ba2913dbac7476,373,1488,
a8fa3e2c641f84f0d19f289433bd348086b167f83924b892d1d81ae8c27fb08b,452,1620,
0e389ea0b8f8c1030a6b962166768979c9f827960c33d3e97eb3f4a9a7700f06,204,760,
3733a3ce668c18863252cf6baa3a1e6e6eaadb31768bb5a3b6093552d0b32a83,366,1132,50d949aaf11386f7f073ead1dbd7c39d9604e3c993738a8dcbbd7ea33a8862cf
011d65e7eb10e378e7370399cda7af0db648d90c30ca281687f0fbb01f196866,286,1136,e9729cc3da87c37f1a3cc11d8ad2b5c4e15dfc028dace8613e8a0e6e4cbc4d37
f178747e600e09145303dbf994f0d905b7b404a52e7753428359ef0c0af10f04,457,1788,
6238a832872993e0dd4467310a9961846eb0da02a328f37a0886b04995c354e5,292,1132,
30331b9553fc41cfd25a414dab84997e4eb3c4641ad97fcae396b72ed61d21f2,452,1612,
2f1b8da0deba8d742f24c721e44248a9f0a5420e196e43fe35174a3fface6817,452,1616,
396b15f856ce55cba0a7d20af3a7b770bd4e1e66fa75de8060aa678443ff05b5,225,900,7ddb85d2922cda6c186f18e4b3f722b79a8c03f7dbf20ebcf8e08ab8fb2b2d89
c9c64c10b647a5961be2bcd2fb5c9ef7682850c8e5c65e07852a4934f36ff60e,292,1132,
b49ea437a30a116b29b70023d28c5b0a264bb1dacea65ef531b2046b922b7629,292,1136,
5a2a8d394d0efe3b0ee992b4909ed0a16abd1105e871f1078867e77d859f8859,292,1132,
0898d20de8c61090b9aeea7af88d93dd3158067ed80d110bdd61c54bd03bc236,292,1132,
d0d5e240c972c10c7b8f1b2d9bf2c42486df8832d290c8d62f0905385423a313,292,1132,
2d7ed421e7f42bb2aafc126b69f840d42483e5aa8de0c827b0d0406a2bd24fe2,292,1136,
b338684c8df3d3a89bb0f518f9ac91e9d7f1339a746fe6c24bf4f500e48b9476,292,1136,
a5f2a8fe8fd9c90d33e8e561a944f7b549e645ba0433ddd31f7b04878cd2db7f,285,1136,70d17688f907f8cedd7a4aa8abfb9db728db9de84052a76fe908d7800ba7aa5b
14d5439e913b2ed2dda1b0a03e29a463db3357f159609e8f5f27b714b7d1eed1,452,1620,2f1b8da0deba8d742f24c721e44248a9f0a5420e196e43fe35174a3fface6817
0bfa29c4e8071501b9a72fa6f9ed452e4d992a6d20360ca1a0a7a74f684fea00,225,884,
bea1798a9ae8478dd29d46c339cdee7036b2a32e1f1086818d317e7711582dbe,452,1620,a8fa3e2c641f84f0d19f289433bd348086b167f83924b892d1d81ae8c27fb08b
7d8e5c9328e3c1cc71da3ffe1bbe9f6bee64d82e985202d4812f52aecea80b0e,452,1616,14d5439e913b2ed2dda1b0a03e29a463db3357f159609e8f5f27b714b7d1eed1
b41feab9f1c3b58ad0cb8f8bfba3cb8346c2f2a4a1259a1ef958556040455de5,623,2352,
dff55ffef21ce82ed322564a6343ac491265a9f99c7e4f1fcf59b1f813f94301,452,1616,
01eb865540f9405631ba0f22da5ad902bdfa9975ffed584bc2f16bc669063bff,258,1032,
0cb5043c24b8ec10d25ec8b8d7143851cc0d9f4472b120c6a0a4a62995bea7a2,452,1616,30331b9553fc41cfd25a414dab84997e4eb3c4641ad97fcae396b72ed61d21f2
2475635f25d4c260cb85aa5af2acc81338723ba1824a6e00f0b1b7a96aef99f2,292,1132,
657dd254ae6e4fb08b433131229982f3505798b0069b0d5c312f76a9df29aac5,292,1132,
f06a9e13148ec33c4b1d7ff395633a63895ca0831ee87e767f8781a80482bf9a,292,1132,
7eafd5cd340c3a7c38ea09dc874cc74abd2d16b32f44e9fad9a86ad2c5c7a9d5,292,1136,
ce184f7d7749971491e1a50c8c14a8944b7101f5eaedc8ff05f196c2c8eb0995,292,1136,
8e0fcd94d9c9eab5680a162678aa971220d438a41cb8c6bb1c627bcaacec5d1d,119,444,
03f6e1594772cbab158fe8a05995631f787d28dbd76da270cedd52ad70af5f30,452,1616,bea1798a9ae8478dd29d46c339cdee7036b2a32e1f1086818d317e7711582dbe
705fe7116409818147b3be3e776cc77a8b1fc52ffdc90894c12ead1b36543b23,1225,1136,d1613fcad3d6e9fe79091a3608aa105c8df43d347cfa7fe6868e51e3a4b38840
0c4e23a5b42865a5eede4a58a278c87da8f040786a68e6db2d9f7db631879a1d,259,1036,
c308cfe0ec96581bb64b8a0715546c464619fc5a5414cdca21190558da27fdbe,457,1788,
8557387f6813272de916135629e33a2b9f5be34a56967718cda8ad54fb6215ae,452,1616,
797ff2554f8649358b743cdfe7438248be0efe3cbde75c8883febf493c97847a,452,1612,43d0ee1893b75b8ab9ae6d38e320656b046d577577aff13d7e210ff8e2a6bbb8
d738d6f75f22621550027f5c1442cc8a2f2583db9f9dd1e2d745e9ee8c3d652e,452,1616,2e3da8fbc1eaca8ed9b7c2db9e6545d8ccac3c67deadee95db050e41c1eedfc0
7093ca0ef47e455f434535f53db051728d246c74dc82205f23434f5b0cf2060a,259,1036,
8bc2ae422ec8862b0e2f835637f99a1f98e8e46acb74cf54eb79ee3372eabf09,452,1620,797ff2554f8649358b743cdfe7438248be0efe3cbde75c8883febf493c97847a
7313881a5660dce569513925fa39c0c5f5b8ceea124fad18a74ec378b131da2d,452,1616,30514981237e1cfd805c7b94d547c27da7eb4477030971c5ff62b5967dd6cb8b
22e31a366dba19c07a99aea35b69a1e2cac64bdee2e8c7a4c7f8502671e360bd,452,1616,d738d6f75f22621550027f5c1442cc8a2f2583db9f9dd1e2d745e9ee8c3d652e
66fa1e22e537bccfb40c5204c7c9a3372fbef6d9d8c6178f729fe47cb1609d17,573,764,
c72060d31ab8b7480f53ce613288fd80a65c158708fdf88ff6b2b67930905cb7,259,1036,
683f0c14a47af9adf413e7057b321e4be9309da3829477d569e9d4766b3d5206,452,1620,0cb5043c24b8ec10d25ec8b8d7143851cc0d9f4472b120c6a0a4a62995bea7a2
aaae5b0ea0c500095e4e0cc5ecb2ebdbc6ef1980e040dbb367c60348af629435,452,1620,384718a612cc6b220a8eeaf36f9d179e70fe233e2e906878a9c9d855292bd534
7fd64ad68698dcd45783e1b907ddb4982ab84ef8f1a33123a8ae381fbaf5b694,452,1616,683f0c14a47af9adf413e7057b321e4be9309da3829477d569e9d4766b3d5206
af58188a2d83bdf38f808443bb7a6c9fc5c00eac20c9ee4f03dbd3f8dcef7e97,259,1036,
57978ca4af61051f7efa13f712ce2e6d3c55c3ba6b75b1bf29aa0b0b4f70b718,292,1132,
e45c729a66d6910897a740e4b0f511e52faf32920cf047f1e31761760a8cbc1c,144,576,
03e7c49bb2860ab07414874aabc3f94fa75707a22a5497c444a2fc8a62613158,452,1620,22e31a366dba19c07a99aea35b69a1e2cac64bdee2e8c7a4c7f8502671e360bd
283f9fb8fab1deb2bc4c2af97df0b554ef757ae8d3e8d5b30e069fa091132463,452,1616,aaae5b0ea0c500095e4e0cc5ecb2ebdbc6ef1980e040dbb367c60348af629435
2dab7e8ed9f1d79a1c13953dc6139676f1b8a7e9be086685e7abe6bd74737a55,452,1620,8557387f6813272de916135629e33a2b9f5be34a56967718cda8ad54fb6215ae
3eb53ca54d16b6207d3948187a1b5db5428bebe1a238fcacdd7b6124998c4a17,525,2048,
65daa1f0fa282f9437044dbc8d849faa3d4baca8abcbf4e01eb80d2551260f7a,266,1044,
8ffc331b252a55b92eb8305820d2a6d600a6329dd0cf48c536882bea6e0b96ba,452,1620,2dab7e8ed9f1d79a1c13953dc6139676f1b8a7e9be086685e7abe6bd74737a55
2cad8679939d0528290421246e86c719a74db476a89a7fbba258f2a866da0627,816,3260,
b5240f496b9df355034454921c0a54b999f6c3b088fb5a2b130060fa7de15c14,452,1612,03f6e1594772cbab158fe8a05995631f787d28dbd76da270cedd52ad70af5f30
4a3b96c7ec8d0a224198314888f1187560c27a86107e42ed9eda56cd082e2c79,452,1620,7313881a5660dce569513925fa39c0c5f5b8ceea124fad18a74ec378b131da2d
f9f9218d6928b44343396785668252fee2291680175148866df7332933d3e7e9,452,1620,b5240f496b9df355034454921c0a54b999f6c3b088fb5a2b130060fa7de15c14
065110f12ae7f26ad590d8a454ef571dec403558fb709e86ee2d13f03772ec7f,259,1036,
8915553283e4047eca14ddf1ec8d0e4f523f4359fcd40d07ff2dc14cc6c0c5b8,452,1620,8ffc331b252a55b92eb8305820d2a6d600a6329dd0cf48c536882bea6e0b96ba
fd5439eec06cc31aa557c74dab8ee9fac5ce7f6c76de00e11f3197bdd9d30add,259,1036,
615b9c6d492ce9bb5882bbf3b18b5c9113aa835614f67021e1df3ce27880a90e,259,1036,
deab573f2c217dac9659f832bd1b69e46400fe64d16e73832061c423ee7f039c,152,568,
ac74abc00c17f00501e95871aeca9ff12269a113e83850445e2deef7bce42505,259,1036,
9eec4802488a7bc353e3bcf0c521acde2550297fd8a9bf1c45a26125ddef8dc3,9145,36520,
572d7ca6c3377052a50f905805635985d8ec988f58eae237ae3fbf6f01d403da,246,892,
0bf6ee2f5703bc53ede567e5dc5832f9cc4c0182d22d1c414420cbd7340138a7,452,1612,03e7c49bb2860ab07414874aabc3f94fa75707a22a5497c444a2fc8a62613158
f6fdf2d75be5918d8fa2c4fc93a7c33c6e4e9d29d986d61b3780c79d227fa396,259,1036,
49325485f08f296362d3322c0e07ff780494b2960af804c04e9f9731ab3fb305,452,1616,7fd64ad68698dcd45783e1b907ddb4982ab84ef8f1a33123a8ae381fbaf5b694
f93f088ee9e9466e42c01694727816130fa854865087cc2369df5bb13487167b,452,1616,
493099e631ab6577209ae655e87bbddf19c62633fae1c19025a3c9553fdf7132,452,1620,0bf6ee2f5703bc53ede567e5dc5832f9cc4c0182d22d1c414420cbd7340138a7
f14f593c47b215edef3dfbbe3b3d46f477efeef44f64e6af5a55a71802859f24,266,1040,
1ec6d58355d300ef2694ff44ab88fa0926cc4435ef31a5f951f466bc2b9d7681,452,1616,493099e631ab6577209ae655e87bbddf19c62633fae1c19025a3c9553fdf7132
d864380befe87fdaf1c9a775176af952e6ada652576e7c66eeb2973817b8fbe6,259,1036,
e0b64bc5443d54daa8efadbdb6e63818072850709175cb38aac49bcd3a3e1ef2,452,1616,5b94c20dd4562ab6fd7ddbd746a564d6755a0428f3698b4b8f78fad2dc24185d
373738f7adb4273bdaa03c66bf17ed208550865ed9d56721f6edcbdee3ae609c,397,1484,
2d69194a47d5f54d75a3711d8bc195014c8a088cd13ed0365997890ce4a44dc9,452,1612,1ec6d58355d300ef2694ff44ab88fa0926cc4435ef31a5f951f466bc2b9d7681
30514981237e1cfd805c7b94d547c27da7eb4477030971c5ff62b5967dd6cb8b,452,1612,283f9fb8fab1deb2bc4c2af97df0b554ef757ae8d3e8d5b30e069fa091132463
feecc35b62fde265b39888c2f63bc15d7e5f3677b6ea52c815875323ff594707,452,1616,8bc2ae422ec8862b0e2f835637f99a1f98e8e46acb74cf54eb79ee3372eabf09
309a7445ecb46d9697865ad3b5b8ae7b267b4faad7051ca7209b002d886b4d1f,784,2936,
8878f26e6d39ebf26228a3d067bf8e3e75ad5dfe2878722def61c69da79f2c66,452,1612,f9f9218d6928b44343396785668252fee2291680175148866df7332933d3e7e9
06a1993fa996f9357eab7c0c39cc749a1efe654436824430dc0ae583ad6b8b35,452,1616,49325485f08f296362d3322c0e07ff780494b2960af804c04e9f9731ab3fb305
e3f2f91e9c12ee970e4d24095e6a60a4400f225a630fb036027f464690aad66a,259,1036,
591cd34d339d2b0f41db0b835e9a5eb6a95322085ca49b7da79b5a8e4288305c,246,896,572d7ca6c3377052a50f905805635985d8ec988f58eae237ae3fbf6f01d403da
a839ac9b669bd8e09c4be3b0951b413b7dd791c17f305891456359ab87c3499c,452,1620,8915553283e4047eca14ddf1ec8d0e4f523f4359fcd40d07ff2dc14cc6c0c5b8
bb73ffdbb51586884510b09bed85225bca56d2b340abcbfbde667db2c8e1e82b,257,1024,
b9d0fa9281c8a87678631772b4d1d72366a8f0117fbeac50d6ab2232b3bff39f,452,1612,feecc35b62fde265b39888c2f63bc15d7e5f3677b6ea52c815875323ff594707
efef99f5b63686cff832df1abb19b224baafa80717e6125abe544754fbb4f3eb,259,1032,
9dd7c2316535edf4058dd57c74abc3c59ca841964841143e9a6bcc1a8b12abe8,452,1616,06a1993fa996f9357eab7c0c39cc749a1efe654436824430dc0ae583ad6b8b35
3b1dc47cde78d30fee421829091763abaa8b3516b561100a8431cdbc218af0d5,169,672,
ed8a394ad26ec5b96fcff7f0d86a7883a7da6c9846a87ec6645824b2f5efe5e1,266,1044,
89b0f35c091e278d203f628fb908fbb3b7ae0d3afa833db028a7d6e196a1b0a4,678,892,
6666a1e61f0d6eb04e3007fff850b7d11920a74d5942553a7c2e52ccd4ff2452,452,1616,f93f088ee9e9466e42c01694727816130fa854865087cc2369df5bb13487167b
a6c1035f8df50842208d16065ab8167e1c8df47eca8f79ed96411de33e86aa5c,350,1400,
eef7f1edb2c2c1996a8b892778668194a3e42f108c34c2e1684743476b3bb42a,224,896,
f259fd7f7cc5f2a11f9b5104279520e496c82e3cd8bf443e47cc18a974ac221c,452,1616,2d69194a47d5f54d75a3711d8bc195014c8a088cd13ed0365997890ce4a44dc9
3add8d129e3fcd51a1e0c390902e8dcd8fc789a315ab8ed36886339c10ec483e,452,1616,7d8e5c9328e3c1cc71da3ffe1bbe9f6bee64d82e985202d4812f52aecea80b0e
8fd9372d59bd257f3ed77a1a39a786e334aec4fdbfd2cb56229b55425b325d21,259,1036,
1926fb3b0629ff5b7d11fc4ee7dd933aa2be1d920fb0e2ac8f564f7b13d9e852,452,1612,9dd7c2316535edf4058dd57c74abc3c59ca841964841143e9a6bcc1a8b12abe8
1c2ddad8b3c4d51687df1509ec48acad49c4992cd2a41ced1df55156d8ed6674,534,2008,
a87d877626cf4bc61f18e3e14cefe145b7162f18a82c7ce2bcdf40a9e54be408,452,1612,502488bd76aace3a95ad15b242497a1746d14f9fffc69e04e2ca9b7296e1cbb7
91283d81fff6e5fbe3bb2ad096e75f6c9ab9dd2fad26aeed4aa846d5ddc9129f,452,1616,a839ac9b669bd8e09c4be3b0951b413b7dd791c17f305891456359ab87c3499c
af79d90685f1def2f78e0ee8de2d32d90c86f31fb727ff38c43af5ee656d78b3,452,1616,f259fd7f7cc5f2a11f9b5104279520e496c82e3cd8bf443e47cc18a974ac221c
07e992b95d6aa0ffa29729fc2e395b05d9eb88a2bcae413dc021cdfe6c7b8f6b,259,1032,
d29fec96ab9343054a8bd0042774f55ce6ab0a16ebdba78ee48b07cbd046696c,239,892,
33a0c3ed0888b9707bb02b72cc5ac4bff4ac505d88f7f309cda36c1a32ac1faa,452,1620,1926fb3b0629ff5b7d11fc4ee7dd933aa2be1d920fb0e2ac8f564f7b13d9e852
e7b349a0b43c80d9b9a2679fcd2329d639d784358de841145e26a67309963af4,224,896,eef7f1edb2c2c1996a8b892778668194a3e42f108c34c2e1684743476b3bb42a
0c5d3e5a1027675e23a069b83ad2235781ad1193da9233b683c2701838aed19d,452,1616,6666a1e61f0d6eb04e3007fff850b7d11920a74d5942553a7c2e52ccd4ff2452
4de1d45a721fcd270e0269eedf03f71bfcb65cbc9872704c1bb78bfd132d1cbe,259,1036,
1f1ee0b7766677111e38c040386adf6ba44afd95afeac1cbc6d0faf3f9f42950,452,1620,8878f26e6d39ebf26228a3d067bf8e3e75ad5dfe2878722def61c69da79f2c66
fa1b45be3d1c3d02de296971b04be2a2decb958e49a0b6a9e90ecec326e6d24f,452,1612,1f1ee0b7766677111e38c040386adf6ba44afd95afeac1cbc6d0faf3f9f42950
c599902acbe9c35102c39bd27007a20dacb978b87ea15eb0eb696bbb6e8a9186,266,1044,
9163f70512b1ed8b37bc61f31c5ec9fd4bd88d9ddfc9736e14f99b6f8566b7aa,224,896,e7b349a0b43c80d9b9a2679fcd2329d639d784358de841145e26a67309963af4
322a63ab69bc567a8e401aa51cd69971c2cf63e338cebeabea64e3dad6662121,452,1612,fa1b45be3d1c3d02de296971b04be2a2decb958e49a0b6a9e90ecec326e6d24f
cfa5c7ce8d0edb3614b4e633a8c126983388192f5426411f2dd252b360f57d3d,258,1032,
